# codex 表情 tips（AI翻译）
# 格式: 表情：char<TAB>中文
表情：⚕️	医神杖
表情：🛩️	小飞机
表情：👽️	外星人
表情：🚑️	救护车
表情：⚓️	船锚
表情：↪️	右钩箭头
表情：⤴️	右上弯曲箭头
表情：⤵️	右下弯曲箭头
表情：*️	星号
表情：🚼️	婴儿箱
表情：🗳️	投票箱
表情：⚾️	棒球
表情：⛹️	篮球运动员
表情：🏝️	棕榈海滩
表情：🏖️	遮阳伞海滩
表情：🛏️	床
表情：🛎️	叮咚铃
表情：🚴	骑自行车者
表情：🚵	山地自行车手
表情：🚲️	自行车
表情：🗑️	垃圾桶
表情：🐦️	鸟
表情：⛵️	帆船
表情：🚣	划艇
表情：🛥️	摩托艇
表情：💣️	炸弹
表情：📚️	书籍
表情：👰	新娘
表情：🖌️	画笔
表情：🗨️	左气泡对话框
表情：🗯️	右愤怒气泡框
表情：👷	建筑工人
表情：🚍️	巴士前视图
表情：🗄️	文件柜
表情：🗓️	螺旋装订日历
表情：📷️	照相机
表情：📹️	摄像机
表情：🏕️	露营
表情：🕯️	蜡烛
表情：🚘️	轿车前视图
表情：🚔️	警车前视图
表情：🏎️	赛车
表情：💳️	信用卡
表情：🐈️	猫
表情：💹	日元上涨图表
表情：✔️	粗体对勾
表情：✅️	方框对勾
表情：♟️	国际象棋
表情：🐿️	花栗鼠
表情：⛪️	教堂
表情：🚭️	禁止吸烟
表情：⚫️	黑色圆圈
表情：⚪️	白色圆圈
表情：⭕️	空心圆圈
表情：🏙️	城市
表情：🗜️	台钳
表情：🎬️	场记板
表情：🧗	攀岩者
表情：📋️	剪贴板
表情：🖇️	回形针
表情：🕐️	一点钟
表情：🕜️	一点半
表情：🕑️	两点钟
表情：🕝️	两点半
表情：🕒️	三点钟
表情：🕞️	三点半
表情：🕓️	四点钟
表情：🕟️	四点半
表情：🕔️	五点钟
表情：🕠️	五点半
表情：🕕️	六点钟
表情：🕡️	六点半
表情：🕖️	七点钟
表情：🕢️	七点半
表情：🕗️	八点钟
表情：🕣️	八点半
表情：🕘️	九点钟
表情：🕤️	九点半
表情：🕙️	十点钟
表情：🕥️	十点半
表情：🕚️	十一点钟
